Post ID	Product SKU	Product Title	Product Status	Product Status 2	Product URL	Product Description	Product Price	Product Regular Price	Product Sale Price	Product Stock Status	Product Image Gallery	Product Type	Product Materials	Product Period	Type	Gender	Collection
32773	N/A 	Georgian Miniature Gold, Emerald & Diamond Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/georgian-miniature-gold-emerald-diamond-ring	This really is a tiny ring. It will not fit on a little finger! I can only think that it was worn by a child. It is so pretty with four small rose cut diamonds and a central rectangular cut emerald. It could have ben a Christening present as it is in the shape of a cross. In the Catholic Church, green has a special meaning since it has always been considered the most natural and elementary colour in liturgy, hence the use of the emerald. It was made circa 1780.	N/A 	N/A 	N/A 	instock	32779,32775,32776,32777,32778,32780,32774	simple	precious-stones/diamond/metals/gold/emerald	georgian	antique-rings	N/A	christmas-gifts
32781	715G	14ct Gold, Opal & Diamond Modernist Ring	publish	available	https://www.antiquejewellerycompany.com/shop/14ct-gold-opal-diamond-modernist-ring	A great looking 14ct gold ring set with rectangular opal pieces and two diamonds between them. It was made around 1980 when this type of design was in fashion.	1500	1500	N/A 	instock	32782,33864,32783,32784,32786,32787,32788,32785	simple	precious-stones/diamond/gold/opal/metals/semi-precious-stones	modern	antique-dress-rings	N/A	N/A
32802	713G	18ct Gold Memorial Ring Dated 1843	publish	sold	https://www.antiquejewellerycompany.com/shop/18ct-gold-memorial-ring-dated-1843	"A good, wide memorial ring with an inscription inside ""Willm (William) English died 28th Feb 1843 aged 63"". It contains \"	1275	1275	N/A 	instock	32803,33865,32804,32805,32806,32807,32808,32809,32810,32811,32812,32813	simple	metals/gold	victorian	antique-wedding-bands	N/A	N/A
32814	802G	18ct White Gold & Platinum Water Opal & Diamond Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/18ct-white-gold-platinum-water-opal-diamond-ring	This ring has an unusual opal. It flashes orange and green and has a bright diamond on either side. The photographs do not do it justice. It is 18ct white gold with a platinum top. It was made circa 1920-1930.	1275	1275	N/A 	instock	32819,32816,32817,32818,32820,32821,32815,33878	simple	N/A	art-deco	antique-engagement-rings	N/A	N/A
32822	689G	Victorian 18ct Gold & Banded Onyx Oval Pendant with Locket Back	publish	available	https://www.antiquejewellerycompany.com/shop/victorian-18ct-gold-banded-onyx-oval-pendant-with-locket-back	A very striking 18ct gold and banded onyx oval pendant with a locket section to the reverse. It is suspended from a white and black enamel bale. It was made circa 1880.	1875	1875	N/A 	instock	32825,32826	simple	metals/onyx/enamel/gold	victorian	antique-lockets-pendants	female	N/A
32827	801G	Victorian 15ct Gold Oval Locket with Enamel & Diamond Butterfly	publish	sold	https://www.antiquejewellerycompany.com/shop/victorian-15ct-gold-oval-locket-with-enamel-diamond-butterfly	A lovely oval 15ct gold locket that was made circa 1880. It is 18ct gold and is beautifully enamelled with a butterfly inset with small diamonds. The butterfly represents the soul. It also has religious meaning: life (caterpillar), death (chrysalis), rebirth or resurrection (butterfly). Inside are two compartments for photographs.\r\n\r\n\r\n	975	975	N/A 	instock	32828,32830,32831,32832,32829	simple	precious-stones/diamond/metals/enamel/gold	victorian	antique-lockets-pendants	female	N/A
32833	768G	Edwardian 18ct Gold, Pearl &amp; Diamond Heart Shaped Brooch	publish	sold	https://www.antiquejewellerycompany.com/shop/edwardian-18ct-gold-pearl-diamond-heart-shaped-brooch	A lovely gentle heart shaped brooch with a large pearl in the centre. It has been very well made with a millegrained edge and set with diamonds. The millegrain (French word for a thousand, and grain referring to the beads) technique was developed in the late 19th century as a textural effect to metal. It is defined as a technique where a knurling or a millegrain tool is impressed into a metal edge leaving furrows and also beads or tiny ridges of metal. 	1275	1275	N/A 	instock	32834,32836,32837,32838,32835	simple	pearl/precious-stones/diamond/metals/gold	edwardian	antique-brooches	N/A	bridal
32839	704G	Regency Two Colour 18ct Gold & Natural Split Pearl Ivy Leaf Design Locket	publish	sold	https://www.antiquejewellerycompany.com/shop/regency-two-colour-18ct-gold-natural-split-pearl-ivy-leaf-design-locket	"A very pretty and beautifully made 18ct two colour gold oval locket with two bands of natural split pearls on both sides with an ivy leaf motif in between. It was made circa 1830. The ivy leaves mean ""Cling to me"" and the pearls stand for ""Purity"" hence this little locket was a gift of love."	675	675	N/A 	instock	32840,32842,32843,32844,32845,32841	simple	pearl/metals/gold	georgian	antique-lockets-pendants	N/A	i-love-you
5474	885C	Masonic Ball Locket	publish	sold	https://www.antiquejewellerycompany.com/shop/masonic-ball-locket	An unusual Masonic globe locket which opens to reveal unfolding cut out sections with Masonic symbols engraved. It is 9ct gold and was made circa 1920.	675	675	N/A	N/A	5475,5476,5477,5478	N/A	metals/gold	edwardian	antique-lockets-pendants	female	N/A
32846	803G	Victorian 18ct Gold & Coral Drop Earrings	publish	available	https://www.antiquejewellerycompany.com/shop/victorian-18ct-gold-coral-drop-earrings	A pair of earrings for coral lovers. They were made circa 1860 in 18ct gold with Neapolitan natural coral beads and pear shaped drops. They look very stylish on the ear.	975	975	N/A 	instock	32847,32848,32849,32850	simple	coral/metals/gold	victorian	antique-earrings	female	N/A
32851	709G	18ct Gold & Enamel Cufflinks by Tiffany	publish	sold	https://www.antiquejewellerycompany.com/shop/18ct-gold-enamel-cufflinks-by-tiffany	A wonderful original pair of 18ct cufflinks made by the famous firm Tiffany, New York, circa 1930. They are beautifully enamelled in red, green and blue and look so smart when worn. They are fully marked Tiffany on each cufflink.	2500	2500	N/A 	instock	32852,32853,32854	simple	metals/enamel/gold	art-deco	antique-cufflinks	N/A	N/A
32855	707G	Georgian Rose Diamond Drop Earrings	publish	available	https://www.antiquejewellerycompany.com/shop/georgian-rose-diamond-drop-earrings	A lovely pair of original Georgian earrings set with foiled rose diamonds. The larger diamond in each earring is a rectangular table cut stone. They are mainly silver with a gold wash on the back which was standard practice circa 1780. The wires are hinged to open backwards, so you have to put them in your ear from behind. This again was usual in the 18th century.	2950	2950	N/A 	instock	32857,32858,32856	simple	precious-stones/diamond/metals/silver/gold	georgian	antique-earrings	N/A	N/A
32859	714G	18ct White Gold & Diamond Flower Earrings	publish	sold	https://www.antiquejewellerycompany.com/shop/18ct-white-gold-diamond-flower-earrings-2	A pretty pair of every day diamond set 18ct white gold flower design earrings. They would make a lovely present.	600	600	N/A 	instock	32861,32860,32862,32872	simple	precious-stones/diamond/metals/gold	modern	antique-earrings	N/A	bridal
32864	673G	Suffragette 15ct Gold & Enamel Pendant	publish	sold	https://www.antiquejewellerycompany.com/shop/suffragette-15ct-gold-enamel-pendant	A pretty Suffragette pendant with a brooch fitting. It is 15ct gold and well enamelled with pink white and black spots. The centre stone is an amethyst with four green garnets (demantoid garnets) above, below and to the sides. The stones in this Suffragette pendant spell \x93Give\x94 / Green / Green garnet, \x93Women\x94 / White / White enamel, \x93Votes\x94 / Vermilion / Amethyst. It would have been worn to show one\x92s sympathy with the movement.	1875	1875	N/A 	instock	32867,32865,32866,32868,32869,32870,32871	simple	enamel/metals/amethyst/gold/green-garnet	edwardian	antique-lockets-pendants	N/A	suffragette
32881	569G	Art Nouveau Silver, Pearl, Turquoise & Enamel Pendant on Silver Chain	publish	sold	https://www.antiquejewellerycompany.com/shop/art-nouveau-silver-pearl-turquoise-enamel-pendant-on-silver-chain	An unusual Art Nouveau silver and enamel pendant on the original silver chain. It is like a heart shaped miniature garden in orange and blue enamel. It is set with a small turquoise and a drop glass pearl. It was made in 1903.	525	525	N/A 	instock	32882,33035,33036	simple	pearl/metals/silver/enamel	art-nouveau	antique-lockets-pendants	N/A	N/A
32886	747G	19ct Century 18ct Gold Indian Mughal Miniature Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/19ct-century-18ct-gold-indian-mughal-miniature-ring	The Mughal school in India flourished for five hundred years. During this time some fabulous pieces were produced, many of which are in museums today. The artists were unbelievably talented and miniaturists were employed to paint depictions of emperors and Maharajas. This ring is of an unidentified sitter but he is obviously of some note. It is 18ct gold and was made circa 1860.	1875	1875	N/A 	instock	32887,33866,32888,32890,32889	simple	metals/gold	victorian	antique-dress-rings	N/A	N/A
32891	778G	18ct White Gold Diamond &amp; Sapphire Diamond Shaped Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/18ct-white-gold-diamond-sapphire-diamond-shaped-ringsapphire-diamond-diamond-shaped-ring	A good looking and well made 18ct white gold diamond shaped ring, set with a Ceylon sapphire surrounded by baguette and round diamonds. It would make a pretty engagement ring.	1275	1275	N/A 	instock	32892,33879,32893,32894,32897,32896,32895	simple	precious-stones/diamond/sapphire	modern	antique-engagement-rings	N/A	N/A
32898	786G	Theodor Farhner Silver Gilt ?& Smoky Quartz Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/theodore-fahrner-silver-gilt-smoky-quartz-ring	A really good example of a silver gilt ring made by the firm of Theodor Fahrner in the 1930s. It has a interesting square cut smoky quartz stone in the centre and the trademark silver gilt scrollwork around it. The firm Theodor Fahrner was based in Phortzeim in the Black Forrest in Germany, and was a major player in the production of well designed good quality jewellery.	675	675	N/A 	instock	32899,33880,32900,32941,32943,32944,32945,32946,32942	simple	metals/gold	art-deco	antique-rings	N/A	theodor-fahrner
32901	793G	14ct Gold &amp; Cabochon Sapphire Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/14ct-gold-cabochon-sapphire-ring	A smart 14ct gold ring set with a good cabochon sapphire. It was made in Germany circa 1930 and is as fashionable to wear today as it was then.	1275	1275	N/A 	instock	32902,33883,32947,32948,32949,32951,32952,32950	simple	precious-stones/metals/gold/sapphire	art-deco	antique-dress-rings	N/A	N/A
32903	746G	Edwardian Sapphire & Diamond Cluster Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/edwardian-sapphire-diamond-cluster-ring-8	An 18ct gold and platinum daisy cluster ring that was made circa 1910. It has a good deep blue sapphire surrounded by evenly matched white diamonds. It would make a pretty engagement ring.	1275	1275	N/A 	instock	32904,33882,32953,32954,32955,32957,32958,32956	simple	platinum/precious-stones/diamond/gold/metals/sapphire	edwardian	antique-engagement-rings	N/A	N/A
32906	739G	Art Deco 18ct White Gold Three Stone Sapphire & Diamond Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/art-deco-18ct-white-gold-three-stone-sapphire-diamond-ring	A pretty Art Deco ring made circa 1920-1930. It is 18ct white gold and has a good sapphire of Burma origin which has an interesting octagonal cut. The two diamonds are good bright stones and offset the sapphire very well. It would make a lovely engagement ring.	1275	1275	N/A 	instock	32912,32959,32960,32962,32963,32961	simple	platinum/precious-stones/diamond/gold/metals/sapphire	art-deco	antique-engagement-rings	N/A	N/A
32913	779G	Edwardian Sapphire, Diamond & Platinum Twist Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/edwardian-sapphire-diamond-platinum-twist-ring	A platinum ring designed as a twist and set with a sapphire and diamond. A simple design that looks lovely on the finger. It was made circa 1910-1920 and would make a lovely engagement ring.	975	975	N/A 	instock	32914,32964,32965,32967,32968,32969,32966	simple	platinum/precious-stones/diamond/gold/metals/sapphire	edwardian	antique-engagement-rings	N/A	N/A
32915	564G	Edwardian Platinum, Ruby & Diamond Bow Ring	publish	available	https://www.antiquejewellerycompany.com/shop/edwardian-platinum-ruby-diamond-bow-ring	A charming Edwardian platinum ring with a bow set with diamonds and rubies. The workmanship is very fine quality and the rubies are realy well matched and contrast well with the diamonds.	2950	2950	N/A 	instock	34224,34366,34221,34222,32971,32970,34223	simple	platinum/precious-stones/diamond/ruby/metals	edwardian	antique-engagement-rings	female	christmas-gifts
32917	745G	Large Diamond Solitaire Ring with Diamond Shoulders	publish	sold	https://www.antiquejewellerycompany.com/shop/large-diamond-solitaire-ring-with-diamond-shoulders	A fine quality one carat diamond ring with diamond shoulders. The diamond is a good white colour with no visible inclusions. It would be ideal as an engagement ring.	4500	4500	N/A 	instock	32918,33884,32977,32978,32980,32981,32982,32983,32979	simple	platinum/precious-stones/diamond/metals/gold	art-deco	antique-engagement-rings	female	i-love-you
32919	736G	Art Deco Rectangular Two Stone Diamond Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/art-deco-rectangular-two-stone-diamond-ring	N/A	1275	1275	N/A 	instock	32920,32984,32985,32986,32987,32988,32989,32990,32992,32991,33908,33885	simple	platinum/precious-stones/diamond/metals/gold	art-deco	antique-engagement-rings	N/A	N/A
32921	741G	Sapphire & Diamond Millegrain Set Three Stone Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/sapphire-diamond-millegrain-set-three-stone-ring	N/A	1875	1875	N/A 	instock	32922,32993,32994,32995,32997,32998,32999,32996,33886	simple	platinum/precious-stones/diamond/gold/metals/sapphire	art-deco	antique-engagement-rings	N/A	N/A
32923	735G	Edwardian Diamond Daisy Cluster Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/edwardian-diamond-daisy-cluster-ring-2	A fine quality diamond cluster ring that was made circa 1910. The diamonds are bright white stones and neatly set. It sits low on the finger which is a comfortable and practical solution to wearing a ring. It would make an ideal engagement ring.	975	975	N/A 	instock	32924,33887,33002,33004,33000,33006,33001,33005,33003	simple	platinum/precious-stones/diamond/metals/gold	edwardian	antique-engagement-rings	N/A	N/A
32925	798G	18ct White Gold & Sapphire Eternity Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/18ct-white-gold-sapphire-eternity-ring	This 18ct white gold eternity ring is beautiful quality with well matched natural square cut sapphires. Rings such as this one were really popular in the Art Deco period and were often worn in stacks with emerald, ruby and diamond eternity rings.	1500	1500	N/A 	instock	32926,33007,33008,33888	simple	diamond/metals/gold	art-deco	antique-eternity-swivel-rings	N/A	N/A
32927	781G	Theodor Fahrner Silver Gilt & Marcasite Bow Brooch	publish	available	https://www.antiquejewellerycompany.com/shop/theodore-fahrner-silver-gilt-marcasite-bow-brooch	An impressive Art Deco silver gilt brooch made by the well known firm Theodor Fahrner. The firm was based in Phortzeim in the Black Forrest, Germany, and produced some of the best Art Deco silver jewellery. This bow brooch is a good example of Fahrner\x92s work. It is set with tiny marcasites and intricate silver gilt swirly motifs.	675	675	N/A 	instock	32928,33013,33014,33012	simple	marcasite/silver/metals	art-deco	antique-brooches	N/A	theodor-fahrner
32929	738G	Art Deco Silver & Marcasite Peacock Brooch	publish	sold	https://www.antiquejewellerycompany.com/shop/art-deco-silver-marcasite-peacock-brooch	A good silver model of a peacock which has been set with graded marcasite, and a garnet for his eye. It would look fantastic on a lapel.	250	250	N/A 	instock	32930,33016,33015	simple	marcasite/silver/metals	modern	antique-brooches	N/A	bertie-presents
32931	780G	Theodor Farhner Silver Gilt & Marcasite Stylised Bow Brooch	publish	sold	https://www.antiquejewellerycompany.com/shop/theodore-fahrner-silver-gilt-marcasite-stylised-bow-brooch	N/A	675	675	N/A 	instock	32932,33018,33019,33017	simple	marcasite/silver/metals	art-deco	antique-brooches	N/A	theodor-fahrner
32933	785G	Theodor Farhner Silver Gilt & Marcasite Double Leaf Brooch	publish	available	https://www.antiquejewellerycompany.com/shop/theodore-fahrner-silver-gilt-marcasite-double-leaf-brooch	A well designed brooch by the well known firm Theodor Fahrner. The firm was based in Phortzeim in the Black Forrest, Germany, and produced some of the best Art Deco silver jewellery. This brooch is a good example of Fahrner\x92s work. Attention to detail was the firm\x92s hallmark, in this case with two leaves set with marcasite (iron pyrites) in the veins and swirl motifs in the silver.	525	525	N/A 	instock	32934,33021,33022,33020	simple	marcasite/silver/metals	art-deco	antique-brooches	N/A	theodor-fahrner
32935	796G	Victorian 15ct Gold Four Compartment Locket	publish	sold	https://www.antiquejewellerycompany.com/shop/victorian-15ct-gold-four-compartment-locket	An unusual Victorian 15ct gold locket which opens by lifting up the hinged trefoil piece. Inside it hinges out to reveal four compartments for photographs. There is a shield shaped cartouche on the reverse that can be engraved with initials if wanted. It was made circa 1860.	975	975	N/A 	instock	32936,33023,33024,33025,33027,33028,33029,33026	simple	metals/gold	victorian	antique-lockets-pendants	N/A	N/A
32937	770G	Georgian 15ct Gold &amp; Pansy Motif Pendant with Locket Back	publish	sold	https://www.antiquejewellerycompany.com/shop/georgian-15ct-gold-pansy-motif-pendant-with-locket-back	"A pretty late Georgian pendant in a heart shape with a locket section on the reverse. The pansy which literally means ""Pense a moi"" ""Thinking of you"", a pun on the word ""Pansy"" is set with pale amethysts. It has raised leaf work around it and a punch work background as a contrast to the plain gold decorated leaf outer edge. It was originally a gift of love in 1820."	825	825	N/A 	instock	32938,33031,33032,33030	simple	metals/gold	georgian	antique-lockets-pendants	N/A	i-love-you
32939	733G	Edwardian 15ct Gold Heart Pendant Set With Natural Split Pearls	publish	sold	https://www.antiquejewellerycompany.com/shop/edwardian-15ct-gold-heart-pendant-set-with-natural-split-pearls	A charming and quite fat heart pendant set with natural graded split pearls. It was made circa 1900-1910 which was such a romantic period in English jewellery. It would have been a gift of love.	675	675	N/A 	instock	32940,33034,33033	simple	pearl/metals/gold	edwardian	antique-lockets-pendants	N/A	i-love-you
38266	357H	French 18ct Gold Art Nouveau Brooch by J Descamps of a Lady	publish	available	https://www.antiquejewellerycompany.com/shop/french-18ct-gold-art-nouveau-brooch-by-j-descamps-of-a-lady	"A beautiful 18ct gold low relief or ""Bas-relief"" brooch of a lady\"	1500	1500	N/A 	instock	38500,38269,38270,38271,38268	simple	metals/gold	art-nouveau	antique-brooches	female	N/A
33037	815G	Edwardian 15ct Gold & Opal Locket Pendant	publish	available	https://www.antiquejewellerycompany.com/shop/edwardian-15ct-gold-opal-locket-pendant	A pretty 15ct gold pendant that also hinges open at the back as a locket. It was made circa 1900-1910 when opals were in fashion.	975	975	N/A 	instock	33038,33039	simple	opal/metals/gold	edwardian	antique-lockets-pendants	female	N/A
33040	794G	Edwardian Moonstone & Diamond Earrings	publish	sold	https://www.antiquejewellerycompany.com/shop/edwardian-moonstone-diamond-earrings	A good pair of moonstone and diamond round earrings that were made circa 1900-1910. The moonstones are very well matched in colour and cut. The diamonds are beautiful white stones. The fittings are hinge back which are easy to put on and very safe.	2500	2500	N/A 	instock	33070,33041,33042	simple	precious-stones/diamond/metals/gold/moonstone	edwardian	antique-earrings	N/A	bridal
33046	774G	Regency Gold Seal with Bloodstone Intaglio of a Dog	publish	sold	https://www.antiquejewellerycompany.com/shop/regency-gold-seal-with-bloodstone-intaglio-of-a-dog	A good Regency seal set with a bloodstone base which has an intaglio of an energetic dog.	475	475	N/A 	instock	33047,33252,33253,33254,33256,33257,33258,33255	simple	metals/bloodstone/gold	georgian	antique-seals-signet-rings	female	bertie-presents
33048	773G	Regency Gold Seal with Amethyst Intaglio of Bird & Letter	publish	sold	https://www.antiquejewellerycompany.com/shop/regency-gold-seal-with-amethyst-intaglio-of-bird-letter	N/A	675	675	N/A 	instock	33049,33260,33261,33262,33263,33264,33259	simple	amethyst/metals	georgian	antique-seals-signet-rings	female	bertie-presents
33050	791G	Art Deco Silver & Blue Paste Earrings	publish	sold	https://www.antiquejewellerycompany.com/shop/art-deco-silver-blue-paste-earrings	A useful pair of silver earrings set with synthetic blue aquamarine paste that look like the real thing! 	195	195	N/A 	instock	33051,33222,33223,33224,33225,33226	simple	pearl/silver/metals	art-deco	antique-earrings	N/A	decodence
33052	776G	Regency Gold Watch Key	publish	sold	https://www.antiquejewellerycompany.com/shop/regency-gold-watch-key	A pretty watch key that can be worn with a small collection of other pieces on a chain or just by itself. It is set with a scalloped crystal on one side and has turquoise blue enamel and engraving on the other side. It was made circa 1820.	175	175	N/A 	instock	33053,33265,33266,33267	simple	metals/gold	georgian	antique-charms	male	N/A
33054	742G	Edwardian Silver & Marcasite Drop Earrings	publish	sold	https://www.antiquejewellerycompany.com/shop/edwardian-silver-marcasite-drop-earrings	A pretty pair of silver drop earrings set with graded marcasites (iron pyrites) They were made circa 1910-1920.	195	195	N/A 	instock	33055,33235	simple	marcasite/silver/metals	edwardian	antique-earrings	N/A	N/A
33056	754G	Edwardian 18ct Gold & Platinum Diamond Cluster Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/edwardian-18ct-gold-platinum-diamond-cluster-ring-3	A good bright diamond cluster ring. The centre large old mine cut diamond spreads 1.20 carats. The other diamonds total 80 points. It would make a beautiful engagement ring.	5750	5750	N/A 	instock	33057,33889,33213,33214,33216,33217,33215	simple	platinum/precious-stones/diamond/metals/gold	edwardian	antique-engagement-rings	female	N/A
33058	757G	Pink Quartz & Natural Split Pearl Cluster Ring	publish	available	https://www.antiquejewellerycompany.com/shop/pink-quartz-natural-split-pearl-cluster-ring	A striking ring with gentle colouring. The foiled pink quartz is surrounded by natural split pearls. It was made circa 1820. The shank is a later addition.	1875	1875	N/A 	instock	33059,33890,33208,33209,33210,33211,33212	simple	pearl/rose-quartz/metals/gold	georgian	antique-dress-rings	N/A	N/A
33060	764G	Edwardian 18ct Gold, Diamond & Topaz Cluster Ring	publish	available	https://www.antiquejewellerycompany.com/shop/edwardian-18ct-gold-diamond-topaz-cluster-ring	A truly lovely topaz and diamond cluster ring. It was made circa 1900-1910. Topaz is a valuable stone and very sought after. It is a symbol of chastity, happiness, true friendship and hope. 	5250	5250	N/A 	instock	33061,33867,33196,33197,33199,33200,33198	simple	topaz/precious-stones/diamond/metals/gold	edwardian	antique-engagement-rings	N/A	N/A
33062	755G	Victorian 18ct Gold Ruby & Diamond Cluster Ring	publish	available	https://www.antiquejewellerycompany.com/shop/victorian-18ct-gold-ruby-diamond-cluster-ring	A lovely ruby and diamond oval cluster ring. It has rather pretty engraved shoulders. The ruby is a pretty colour and is surrounded by old mine cut diamonds. It was made circa 1890-1900.	3500	3500	N/A 	instock	33063,33891,33201,33202,33204,33205,33207,33206,33203	simple	precious-stones/diamond/ruby/metals/gold	victorian	antique-engagement-rings	female	N/A
33064	763G	Edwardian 18ct Gold Three Stone Diamond Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/edwardian-18ct-gold-three-stone-diamond-ring	An early 20th century 18ct gold diamond three stone diamond half hoop ring. The slightly graduated old cut diamonds have tiny diamonds on either side to accentuate the line. The gallery has beautiful scrollwork. It would make a stunning engagement ring.	2250	2250	N/A 	instock	33065,33176,33177,33178,33179,33180,33182,33183,33181	simple	precious-stones/diamond/metals/gold	edwardian	antique-engagement-rings	N/A	N/A
33066	753G	Edwardian Diamond Three Stone Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/edwardian-diamond-three-stone-ring	A good looking Edwardian ring set with three old cut diamonds. The central diamond spreads over 1.5 carats. The two diamonds on either side spread at least 35 points each. It would make a marvellous engagement ring.	5750	5750	N/A 	instock	33067,33218,33221,33219,33220	simple	precious-stones/diamond/metals/gold	edwardian	antique-engagement-rings	N/A	N/A
33068	762G	Art Deco 18ct White Gold & Platinum Ceylon Sapphire & Diamond Ring	publish	sold	https://www.antiquejewellerycompany.com/shop/art-deco-18ct-white-gold-platinum-ceylon-sapphire-diamond-ring	A beautiful Art Deco ring set with a good cornflower blue Ceylon sapphire. It is a lovely design with flowing platinum lines containing four diamonds around the sapphire. It would be a very special engagement ring.	1875	1875	N/A 	instock	33069,33892,33190,33191,33193,33195,33194,33192	simple	precious-stones/diamond/metals/sapphire	art-deco	antique-engagement-rings	female	N/A
33078	653G	Victorian 18ct Gold, Opal & Diamond Ring	publish	available	https://www.antiquejewellerycompany.com/shop/victorian-18ct-gold-opal-diamond-ring-2	A lovely quality late Victorian 18ct gold carved half hoop ring. The opals are a lovely colour with good flashes of green and red. Old mine cut diamonds divide the opals.	1875	1875	N/A 	instock	38914,33079,33893,33184,33185,33187,33188,33189,33186,38913,38916,38915	simple	opal/diamond/metals/precious-stones/gold	victorian	antique-dress-rings	female	N/A
33080	758G	Edwardian Diamond Cluster Ring With Diamond Shoulders	publish	sold	https://www.antiquejewellerycompany.com/shop/edwardian-diamond-cluster-ring-with-diamond-shoulders-6	A lovely diamond daisy cluster ring with diamond shoulders. The centre stone is 25 points and is a good bright white colour. The other diamonds around it are well matched good stones. It would make a very pretty engagement ring.	2250	2250	N/A 	instock	33081,33168,33169,33174,33172,33173,33175,33170,33171,33894	simple	platinum/precious-stones/diamond/metals/gold	edwardian	antique-engagement-rings	female	N/A
38282	377H	18ct Gold, Diamond & Ruby Round Locket With Air, Rail & Sea Design	publish	sold	https://www.antiquejewellerycompany.com/shop/18ct-gold-diamond-ruby-round-locket-with-air-rail-sea-design	A wonderful round 18ct gold locket with a travelling theme. Wings to represent flight, a railway engine for rail travel, and an anchor for cruising. Finally a suitcase set with a diamond. Around the edge are square cut rubies. It was made circa 1910-1920. Inside are two compartments for photographs.	2250	2250	N/A 	instock	38283,38285,38286,38284	simple	diamond/ruby/metals/gold	edwardian	antique-lockets-pendants	female	N/A
33089	761G	Edwardian Natural Split Pearl ?& Aquamarine Oval Brooch	publish	sold	https://www.antiquejewellerycompany.com/shop/edwardian-natural-split-pearl-aquamarine-oval-brooch	This brooch would look really pretty clipped over a string of pearls or just worn on its own. It is lovely quality set with a large oval aquamarine surrounded by two rows of natural split pearls. It was made in England, circa 1900-1910.	1875	1875	N/A 	instock	33090,33145,33144	simple	aquamarine/pearl/metals/gold	victorian	antique-brooches	female	bridal
33092	749G	Edwardian 15ct Gold, Turquoise & Natural Split Pearl Caduceus Brooch	publish	sold	https://www.antiquejewellerycompany.com/shop/edwardian-15ct-gold-turquoise-natural-split-pearl-caduceus-brooch	The caduceus is the traditional symbol of Hermes and features two snakes winding around an often winged staff. The two-snake caduceus design has ancient and consistent associations with trade, eloquence, trickery and negotiation. Association of the caduceus with medicine has occurred through the ages, where it was sometimes associated with alchemy and wisdom. This 15ct gold brooch is a lovely example set with natural half drilled and split pearls and turquoise.\r\n	1275	1275	N/A 	instock	33093,33147,33148,33146	simple	pearl/turquoise/metals/gold	edwardian	antique-brooches	female	N/A
33094	748G	Art Deco 18ct White Gold & Platinum, Sapphire & Diamond Bracelet	publish	sold	https://www.antiquejewellerycompany.com/shop/art-deco-18ct-white-gold-platinum-sapphire-diamond-bracelet	A smart Art Deco sapphire and diamond bracelet. The strap is sprung to stretch so that it sits on the wrist snugly. The design is finely executed with three oval cabochon sapphires and articulated sections between set with small square cut sapphires and diamonds. It was made circa 1920-1930.	4500	4500	N/A 	instock	33095,33304,33305,33306	simple	platinum/precious-stones/diamond/gold/metals/sapphire	art-deco	antique-bracelets-bangles	female	the-classics
33098	797G	Art Deco Silver, Onyx & Diamond Pendant on Silver Chain	publish	sold	https://www.antiquejewellerycompany.com/shop/art-deco-silver-onyx-diamond-pendant-on-silver-chain	A small Art Deco rectangular silver and onyx pendant set with a tiny diamond. It is on a fine trace link silver chain.	250	250	N/A 	instock	33099,33236	simple	precious-stones/diamond/onyx/silver/metals	art-deco	antique-lockets-pendants	N/A	decodence
33100	792G	Art Deco Silver & Blue Paste Pendant on Silver Chain	publish	available	https://www.antiquejewellerycompany.com/shop/art-deco-silver-blue-paste-pendant-on-silver-chain-5	A lovely Art Deco pendant set with a faceted synthetic aquamarine paste, and suspended from a fine trace link silver chain. It looks to all intents and purposes like the real thing!	375	375	N/A 	instock	33101,33150,33149	simple	paste/silver/metals	art-deco	antique-lockets-pendants	female	bridal
33102	795G	18ct White Gold Pearl & Diamond Earrings	publish	sold	https://www.antiquejewellerycompany.com/shop/18ct-white-gold-pearl-diamond-earrings-2	A smart pair of every day pearl and diamond earrings. They can be worn day and night. The diamonds are 30 points each and very well matched stones.	1275	1275	N/A 	instock	33103,33231,33232,33230,33234,33233	simple	pearl/precious-stones/diamond/metals/gold	retro	antique-earrings	female	bridal
