Date,Permalink,id,Title,"Regular Price",SKU,Content,"Product Type",parent_id,Types,Periods,ajc_p_status,ajc_p_resizeable,ajc_p_ringsize
20130604,http://www.antiquejewellerycompany.com/shop/georgian-cut-steel-buckles-in-original-case/,1674,"Georgian Cut Steel Buckles, in Original Case",250,9E,"A good pair of Georgian cut steel buckles which have a left and a right setting in their original case.",simple,0,Curiosities,"Georgian (1714-1830)",available,,
20130429,http://www.antiquejewellerycompany.com/shop/edwardian-platinum-gold-ring/,1677,"Edwardian Chainlink Platinum & Gold Ring",975,24E,"A very unusual plaited 15ct gold and platinum ring which was made in the Edwardian period when two colour gold was popular. It represents eternal love, two different colours, male and female linked together. ",simple,0,"Rings>Wedding Bands","Edwardian (1901-1914)",available,,"UK P, US 7 ½, French 56 ½, Japanese 15"
20130429,http://www.antiquejewellerycompany.com/shop/georgian-rose-diamond-ring/,1681,"Georgian Rose Diamond Ring",750,991D,"A beautiful early Georgian rose diamond ring which was made circa 1760-80.

It has been later marked on the inside of the shank 585 which is 14ct gold.",simple,0,"Rings>Engagement Rings","Georgian (1714-1830)",sold,,"UK O, US 7, French 55 ¼, Japanese 14"
20130604,http://www.antiquejewellerycompany.com/shop/large-french-silver-gilt-cross-in-original-case/,1686,"Large French Silver Gilt Cross, in Original Case",975,417C,"This is a big silver gilt cross, the biggest I have ever bought. It is in its original case and was made around 1820 in France. It is a terrific look!",simple,0,"Lockets &amp; Pendants","Victorian (1839-1901)",available,,
20130428,http://www.antiquejewellerycompany.com/shop/art-deco-silver-amazonite-onyz-pendant-on-chain/,1690,"Art Deco Silver, Amazonite & Onyz Pendant on Chain",450,992D,"An extremely stylish carved amazonite and onyx pendant which is set in silver. It is pure Art Deco, circa 1925 and looks fabulous when worn.",simple,0,"Lockets &amp; Pendants","Art Deco (1920-1935)",sold,,
20130428,http://www.antiquejewellerycompany.com/shop/two-drop-silver-chalcedony-pendant-on-chain/,1695,"Two Drop Silver & Chalcedony Pendant on Chain",375,993D,"This silver pendant is classic Edwardian style. It has two unequal drops which are set with pale blue chalcedony and is interspersed with darker blue pastes suspended from chains. It was made circa 1910-20.",simple,0,"Lockets &amp; Pendants","Art Deco (1920-1935)|Edwardian (1901-1914)",available,,
20130428,http://www.antiquejewellerycompany.com/shop/silver-enamel-mexican-pendant-on-chain-by-margot/,1699,"Silver & Enamel Mexican Pendant on Chain, by Margot",950,994D,"A very good quality enamel and silver pendant/brooch on chain which was made in Mexico by Margo circa 1970. It is really well made with an obvious Japanese influence coming through in the enamelling technique which has been stippled, and the design of the flower itself. The chain is also enamelled in the same style.",simple,0,"Lockets &amp; Pendants","Modern (1960s onwards)",available,,
20130428,http://www.antiquejewellerycompany.com/shop/art-deco-silver-marcasite-coral-necklace/,1704,"Art Deco Silver Marcasite & Coral Necklace",675,997D,"A good looking Art Deco marcasite and silver necklace which has been set with rectangular sections of coral which was so popular at the time. It was made circa 1920-25.",simple,0,Necklaces,"Art Deco (1920-1935)",sold,,
20130428,http://www.antiquejewellerycompany.com/shop/modernist-silver-necklace/,1708,"Modernist Silver Necklace",850,15E,"This is a good heavy quality silver necklace which was made in the 1970s and is pretty stunning on the neck. It has earrings to match which are listed in the"" Earrings"" section on the site.",simple,0,Necklaces,"Retro (1940s)",sold,,
20130428,http://www.antiquejewellerycompany.com/shop/theodore-fahrner-silver-gilt-marcasite-necklace/,1713,"Theodor Fahrner Silver Gilt & Marcasite Necklace",675,5E,"A good example of a Theodor Fahrner silver gilt necklace which has been highlighted with marcasite. It was made circa 1930.",simple,0,Necklaces,"Art Deco (1920-1935)",sold,,
20130428,http://www.antiquejewellerycompany.com/shop/georgian-vauxhall-glass-necklace/,1717,"Georgian Vauxhall Glass Necklace",1485,946D,"A wonderful Vauxhall glass necklace which looks fantastic on the neck. The pieces of mirror glass are faceted and give off a wonderful greyish hew. It was made circa 1820.",simple,0,Necklaces,"Georgian (1714-1830)",sold,,
20130724,http://www.antiquejewellerycompany.com/shop/silver-modernist-earrings/,1721,"Silver Modernist Earrings",225,16E,"These earrings can be worn alone, but they actually match a silver necklace which is in the ""Necklace"" section on the site. They were made circa 1960-80.",simple,0,Earrings,"Retro (1940s)",available,,
20130428,http://www.antiquejewellerycompany.com/shop/modern-sapphire-diamond-cluster-earrings/,1725,"Sapphire & Diamond Cluster Earrings",1275,12E,"A very lively pair of sapphire and diamond earrings which are fairly modern, probably from the 1980s. The sapphires are a good blue and the diamonds are well matched and even in colour.",simple,0,Earrings,"Modern (1960s onwards)",sold,,
20130428,http://www.antiquejewellerycompany.com/shop/art-deco-gold-diamond-drop-earrings/,1730,"Art Deco Gold Diamond Drop Earrings",1275,3E,"A pretty and delicate pair of diamond Art Deco earrings which articulate so move nicely when worn. They were made circa 1920 and are 18ct gold and platinum.",simple,0,Earrings,"Art Deco (1920-1935)",sold,,
20130724,http://www.antiquejewellerycompany.com/shop/georgian-cut-steel-glass-cameo-earrings/,1733,"Georgian Cut Steel & Glass Cameo Earrings",850,998D,"An unusual pair of cut steel drop earrings which have been set with three colour glass cameos. They were made circa 1820 and are in good condition.",simple,0,Earrings,"Georgian (1714-1830)",sold,,
20130428,http://www.antiquejewellerycompany.com/shop/theodore-fahrner-double-leaf-silver-gilt-marcasite-brooch/,1737,"Theodor Fahrner Double Leaf Silver Gilt & Marcasite Brooch",375,7E,"Theodor Fahrner pieces are so well designed and executed. This example is silver gilt set with small marcasites to highlight the leaf design. It was made circa 1930 and is fully marked.",simple,0,Brooches,"Art Deco (1920-1935)",sold,,
20130807,http://www.antiquejewellerycompany.com/shop/celtic-silver-gilt-brooch-by-waterhouse-in-original-case/,1741,"Celtic Silver Gilt Brooch by Waterhouse, in Original Case",560,10E,"This brooch is in good condition and was made in Ireland by the firm Waterhouse circa 1870. It has finely chased work and is silver gilt. It is in its original case.",simple,0,Brooches,"Victorian (1839-1901)",sold,,
20130428,http://www.antiquejewellerycompany.com/shop/polar-bear-silver-enamel-brooch/,1745,"Polar Bear Silver & Enamel Brooch",150,1000D,"This enamel and silver brooch matches a bracelet which can be found in Bracelet section of the site.",,0,Brooches,"Modern (1960s onwards)",sold,"Modern (1960s onwards)",
20130807,http://www.antiquejewellerycompany.com/shop/theodore-fahrner-gilt-marcasite-brooch/,1749,"Theodor Fahrner Gilt & Marcasite Brooch",250,6E,"Theodor Fahrner pieces are always so well designed as with this example. It is silver gilt and set with marcasite which sets off the design. It was made circa 1930 and is fully signed,",simple,0,Brooches,"Art Deco (1920-1935)",available,,
20130428,http://www.antiquejewellerycompany.com/shop/polar-bear-silver-enamel-bracelet/,1753,"Polar Bear Silver & Enamel Bracelet",525,999D,"A lovely and well designed bracelet which has been enamelled in black in the background to offset the silver/ white polar bears. It is such a great look and has a brooch to match which is listed in the ""Brooch"" section on the site.",simple,0,"Bracelets &amp; Bangles","Modern (1960s onwards)",sold,,
20130807,http://www.antiquejewellerycompany.com/shop/silver-marcasite-amethyst-bracelet/,1758,"Silver, Marcasite & Amethyst Bracelet",475,995D,"An Art Deco silver and marcasite bracelet which has also been set with amethysts. The colour combination is lovely with the greyish effect of the silver and marcasite against the purple of the amethysts. It was made circa 1925.",simple,0,"Bracelets &amp; Bangles","Art Deco (1920-1935)",sold,,
20130604,http://www.antiquejewellerycompany.com/shop/rock-crystal-onyx-silver-bangle/,1762,"Rock Crystal Onyx & Silver Bangle",525,996D,"A very neat and stylish silver bangle which has been set with an oblong rock crystal which is flanked by two sections of onyx. It is a great look on the wrist.",simple,0,"Bracelets &amp; Bangles","Modern (1960s onwards)",sold,,
20130424,http://www.antiquejewellerycompany.com/shop/rock-crystal-silver-bead-necklace/,1767,"Rock Crystal & Silver Bead Necklace",350,975D,"A good long silver chain which is interspersed with rock crystal faceted beads. It was made circa 1930.",simple,0,Necklaces,"Art Deco (1920-1935)",sold,,
20130424,http://www.antiquejewellerycompany.com/shop/arts-crafts-st-george-the-dragon-silver-enamel-pendant/,1771,"Arts & Crafts St. George & The Dragon Silver & Enamel Pendant",975,750N,"A large and unusual Arts and Crafts pendant of George and the Dragon. It is silver which has been enamelled and the drops are large Mississippi pearls. It has it's original chain to match. It was made circa 1910 and is English.",simple,0,"Lockets &amp; Pendants","Art Nouveau (1890-1915)",available,,
20130807,http://www.antiquejewellerycompany.com/shop/silver-marcasite-and-paste-dagger-brooch/,1775,"Silver, Marcasite & Paste Dagger Brooch",375,135M/J,,,0,Brooches,,available,,
20130424,http://www.antiquejewellerycompany.com/shop/scottish-dagger-brooch/,1777,"Scottish Dagger Brooch",675,887B/OJ,"An unusual silver Scottish brooch which was made circa 1860 and has ben set with different agates which have been individually carved to fit the piece.",,0,Brooches,"Victorian (1839-1901)",sold,"Victorian (1839 -1901)",
20130421,http://www.antiquejewellerycompany.com/shop/rock-crystal-moonstone-14ct-gold-bracelet/,1779,"Rock Crystal & Moonstone 14ct Gold Bracelet",975,348B,"An unusual combination of rock crystal, gold and moonstone in a well designed bracelet which looks as good today as it did in the 1940s when it was made. It has some earrings to match which are listed in the ""Earrings"" section on the site.",simple,0,"Bracelets &amp; Bangles","Retro (1940s)",sold,,
20130421,http://www.antiquejewellerycompany.com/shop/natural-pearl-diamond-crossover-ring/,1784,"Natural Pearl & Diamond Crossover Ring",675,986D,"A pretty Art Nouveau crossover design ring which is set with a natural pearl and a good bright diamond. It was made circa 1910 and is 18ct gold.",simple,0,"Rings>Engagement Rings","Edwardian (1901-1914)",available,1,"UK P ½, US 7 ¾, French 57, Japanese 15 ½"
20130421,http://www.antiquejewellerycompany.com/shop/sapphire-diamond-twist-ring/,1788,"Sapphire & Diamond Twist Ring",1275,985D,"A characteristically Edwardian ring in yellow gold and platinum of light and flowing design. Smaller diamonds are channel set in curves on either side of the Ceylon sapphire which is framed by four larger diamonds.",simple,0,"Rings>Engagement Rings","Edwardian (1901-1914)",sold,,
20130416,http://www.antiquejewellerycompany.com/shop/edwardian-diamond-cluster-drop-earrings/,1793,"Edwardian Diamond Cluster Drop Earrings",1850,970D,"Edwardian diamond drop cluster earrings in platinum and 15ct yellow gold. A single rubover set diamond suspends a diamond flower cluster comprising 10 diamonds in total. These are easy to wear, timeless and look pretty on.",simple,0,Earrings,"Edwardian (1901-1914)",sold,,
20130416,http://www.antiquejewellerycompany.com/shop/diamond-pearl-drop-earrings/,1797,"Diamond & Pearl Drop Earrings",1875,145F,"Claw set white gold diamond and pearl drop earrings.",simple,0,Earrings,"Modern (1960s onwards)",sold,,
