Title,Content,SKU,"Product Type",parent_id,"Regular Price",Permalink,Types,Periods,ajc_p_status,ajc_p_ringsize,ajc_p_resizeable
"Georgian Cut Steel Buckles, in Original Case","A good pair of Georgian cut steel buckles which have a left and a right setting in their original case.",9E,simple,0,250,http://www.antiquejewellerycompany.com/shop/georgian-cut-steel-buckles-in-original-case/,Curiosities,"Georgian (1714-1830)",available,,
"Edwardian Chainlink Platinum & Gold Ring","A very unusual plaited 15ct gold and platinum ring which was made in the Edwardian period when two colour gold was popular. It represents eternal love, two different colours, male and female linked together. ",24E,simple,0,975,http://www.antiquejewellerycompany.com/shop/edwardian-platinum-gold-ring/,"Rings>Wedding Bands","Edwardian (1901-1914)",available,"UK P, US 7 ½, French 56 ½, Japanese 15",
"Georgian Rose Diamond Ring","A beautiful early Georgian rose diamond ring which was made circa 1760-80.

It has been later marked on the inside of the shank 585 which is 14ct gold.",991D,simple,0,750,http://www.antiquejewellerycompany.com/shop/georgian-rose-diamond-ring/,"Rings>Engagement Rings","Georgian (1714-1830)",sold,"UK O, US 7, French 55 ¼, Japanese 14",
"Large French Silver Gilt Cross, in Original Case","This is a big silver gilt cross, the biggest I have ever bought. It is in its original case and was made around 1820 in France. It is a terrific look!",417C,simple,0,975,http://www.antiquejewellerycompany.com/shop/large-french-silver-gilt-cross-in-original-case/,"Lockets &amp; Pendants","Victorian (1839-1901)",available,,
"Art Deco Silver, Amazonite & Onyz Pendant on Chain","An extremely stylish carved amazonite and onyx pendant which is set in silver. It is pure Art Deco, circa 1925 and looks fabulous when worn.",992D,simple,0,450,http://www.antiquejewellerycompany.com/shop/art-deco-silver-amazonite-onyz-pendant-on-chain/,"Lockets &amp; Pendants","Art Deco (1920-1935)",sold,,
"Two Drop Silver & Chalcedony Pendant on Chain","This silver pendant is classic Edwardian style. It has two unequal drops which are set with pale blue chalcedony and is interspersed with darker blue pastes suspended from chains. It was made circa 1910-20.",993D,simple,0,375,http://www.antiquejewellerycompany.com/shop/two-drop-silver-chalcedony-pendant-on-chain/,"Lockets &amp; Pendants","Art Deco (1920-1935)|Edwardian (1901-1914)",available,,
"Silver & Enamel Mexican Pendant on Chain, by Margot","A very good quality enamel and silver pendant/brooch on chain which was made in Mexico by Margo circa 1970. It is really well made with an obvious Japanese influence coming through in the enamelling technique which has been stippled, and the design of the flower itself. The chain is also enamelled in the same style.",994D,simple,0,950,http://www.antiquejewellerycompany.com/shop/silver-enamel-mexican-pendant-on-chain-by-margot/,"Lockets &amp; Pendants","Modern (1960s onwards)",available,,
"Art Deco Silver Marcasite & Coral Necklace","A good looking Art Deco marcasite and silver necklace which has been set with rectangular sections of coral which was so popular at the time. It was made circa 1920-25.",997D,simple,0,675,http://www.antiquejewellerycompany.com/shop/art-deco-silver-marcasite-coral-necklace/,Necklaces,"Art Deco (1920-1935)",sold,,
"Modernist Silver Necklace","This is a good heavy quality silver necklace which was made in the 1970s and is pretty stunning on the neck. It has earrings to match which are listed in the"" Earrings"" section on the site.",15E,simple,0,850,http://www.antiquejewellerycompany.com/shop/modernist-silver-necklace/,Necklaces,"Retro (1940s)",sold,,
"Theodor Fahrner Silver Gilt & Marcasite Necklace","A good example of a Theodor Fahrner silver gilt necklace which has been highlighted with marcasite. It was made circa 1930.",5E,simple,0,675,http://www.antiquejewellerycompany.com/shop/theodore-fahrner-silver-gilt-marcasite-necklace/,Necklaces,"Art Deco (1920-1935)",sold,,
"Georgian Vauxhall Glass Necklace","A wonderful Vauxhall glass necklace which looks fantastic on the neck. The pieces of mirror glass are faceted and give off a wonderful greyish hew. It was made circa 1820.",946D,simple,0,1485,http://www.antiquejewellerycompany.com/shop/georgian-vauxhall-glass-necklace/,Necklaces,"Georgian (1714-1830)",sold,,
"Silver Modernist Earrings","These earrings can be worn alone, but they actually match a silver necklace which is in the ""Necklace"" section on the site. They were made circa 1960-80.",16E,simple,0,225,http://www.antiquejewellerycompany.com/shop/silver-modernist-earrings/,Earrings,"Retro (1940s)",available,,
"Sapphire & Diamond Cluster Earrings","A very lively pair of sapphire and diamond earrings which are fairly modern, probably from the 1980s. The sapphires are a good blue and the diamonds are well matched and even in colour.",12E,simple,0,1275,http://www.antiquejewellerycompany.com/shop/modern-sapphire-diamond-cluster-earrings/,Earrings,"Modern (1960s onwards)",sold,,
"Art Deco Gold Diamond Drop Earrings","A pretty and delicate pair of diamond Art Deco earrings which articulate so move nicely when worn. They were made circa 1920 and are 18ct gold and platinum.",3E,simple,0,1275,http://www.antiquejewellerycompany.com/shop/art-deco-gold-diamond-drop-earrings/,Earrings,"Art Deco (1920-1935)",sold,,
"Georgian Cut Steel & Glass Cameo Earrings","An unusual pair of cut steel drop earrings which have been set with three colour glass cameos. They were made circa 1820 and are in good condition.",998D,simple,0,850,http://www.antiquejewellerycompany.com/shop/georgian-cut-steel-glass-cameo-earrings/,Earrings,"Georgian (1714-1830)",sold,,
"Theodor Fahrner Double Leaf Silver Gilt & Marcasite Brooch","Theodor Fahrner pieces are so well designed and executed. This example is silver gilt set with small marcasites to highlight the leaf design. It was made circa 1930 and is fully marked.",7E,simple,0,375,http://www.antiquejewellerycompany.com/shop/theodore-fahrner-double-leaf-silver-gilt-marcasite-brooch/,Brooches,"Art Deco (1920-1935)",sold,,
"Celtic Silver Gilt Brooch by Waterhouse, in Original Case","This brooch is in good condition and was made in Ireland by the firm Waterhouse circa 1870. It has finely chased work and is silver gilt. It is in its original case.",10E,simple,0,560,http://www.antiquejewellerycompany.com/shop/celtic-silver-gilt-brooch-by-waterhouse-in-original-case/,Brooches,"Victorian (1839-1901)",sold,,
"Polar Bear Silver & Enamel Brooch","This enamel and silver brooch matches a bracelet which can be found in Bracelet section of the site.",1000D,,0,150,http://www.antiquejewellerycompany.com/shop/polar-bear-silver-enamel-brooch/,Brooches,"Modern (1960s onwards)",sold,,"Modern (1960s onwards)"
"Theodor Fahrner Gilt & Marcasite Brooch","Theodor Fahrner pieces are always so well designed as with this example. It is silver gilt and set with marcasite which sets off the design. It was made circa 1930 and is fully signed,",6E,simple,0,250,http://www.antiquejewellerycompany.com/shop/theodore-fahrner-gilt-marcasite-brooch/,Brooches,"Art Deco (1920-1935)",available,,
"Polar Bear Silver & Enamel Bracelet","A lovely and well designed bracelet which has been enamelled in black in the background to offset the silver/ white polar bears. It is such a great look and has a brooch to match which is listed in the ""Brooch"" section on the site.",999D,simple,0,525,http://www.antiquejewellerycompany.com/shop/polar-bear-silver-enamel-bracelet/,"Bracelets &amp; Bangles","Modern (1960s onwards)",sold,,
"Silver, Marcasite & Amethyst Bracelet","An Art Deco silver and marcasite bracelet which has also been set with amethysts. The colour combination is lovely with the greyish effect of the silver and marcasite against the purple of the amethysts. It was made circa 1925.",995D,simple,0,475,http://www.antiquejewellerycompany.com/shop/silver-marcasite-amethyst-bracelet/,"Bracelets &amp; Bangles","Art Deco (1920-1935)",sold,,
"Rock Crystal Onyx & Silver Bangle","A very neat and stylish silver bangle which has been set with an oblong rock crystal which is flanked by two sections of onyx. It is a great look on the wrist.",996D,simple,0,525,http://www.antiquejewellerycompany.com/shop/rock-crystal-onyx-silver-bangle/,"Bracelets &amp; Bangles","Modern (1960s onwards)",sold,,
"Rock Crystal & Silver Bead Necklace","A good long silver chain which is interspersed with rock crystal faceted beads. It was made circa 1930.",975D,simple,0,350,http://www.antiquejewellerycompany.com/shop/rock-crystal-silver-bead-necklace/,Necklaces,"Art Deco (1920-1935)",sold,,
"Arts & Crafts St. George & The Dragon Silver & Enamel Pendant","A large and unusual Arts and Crafts pendant of George and the Dragon. It is silver which has been enamelled and the drops are large Mississippi pearls. It has it's original chain to match. It was made circa 1910 and is English.",750N,simple,0,975,http://www.antiquejewellerycompany.com/shop/arts-crafts-st-george-the-dragon-silver-enamel-pendant/,"Lockets &amp; Pendants","Art Nouveau (1890-1915)",available,,
"Silver, Marcasite & Paste Dagger Brooch",,135M/J,,0,375,http://www.antiquejewellerycompany.com/shop/silver-marcasite-and-paste-dagger-brooch/,Brooches,,available,,
"Scottish Dagger Brooch","An unusual silver Scottish brooch which was made circa 1860 and has ben set with different agates which have been individually carved to fit the piece.",887B/OJ,,0,675,http://www.antiquejewellerycompany.com/shop/scottish-dagger-brooch/,Brooches,"Victorian (1839-1901)",sold,,"Victorian (1839 -1901)"
"Rock Crystal & Moonstone 14ct Gold Bracelet","An unusual combination of rock crystal, gold and moonstone in a well designed bracelet which looks as good today as it did in the 1940s when it was made. It has some earrings to match which are listed in the ""Earrings"" section on the site.",348B,simple,0,975,http://www.antiquejewellerycompany.com/shop/rock-crystal-moonstone-14ct-gold-bracelet/,"Bracelets &amp; Bangles","Retro (1940s)",sold,,
"Natural Pearl & Diamond Crossover Ring","A pretty Art Nouveau crossover design ring which is set with a natural pearl and a good bright diamond. It was made circa 1910 and is 18ct gold.",986D,simple,0,675,http://www.antiquejewellerycompany.com/shop/natural-pearl-diamond-crossover-ring/,"Rings>Engagement Rings","Edwardian (1901-1914)",available,"UK P ½, US 7 ¾, French 57, Japanese 15 ½",1
"Sapphire & Diamond Twist Ring","A characteristically Edwardian ring in yellow gold and platinum of light and flowing design. Smaller diamonds are channel set in curves on either side of the Ceylon sapphire which is framed by four larger diamonds.",985D,simple,0,1275,http://www.antiquejewellerycompany.com/shop/sapphire-diamond-twist-ring/,"Rings>Engagement Rings","Edwardian (1901-1914)",sold,,
"Edwardian Diamond Cluster Drop Earrings","Edwardian diamond drop cluster earrings in platinum and 15ct yellow gold. A single rubover set diamond suspends a diamond flower cluster comprising 10 diamonds in total. These are easy to wear, timeless and look pretty on.",970D,simple,0,1850,http://www.antiquejewellerycompany.com/shop/edwardian-diamond-cluster-drop-earrings/,Earrings,"Edwardian (1901-1914)",sold,,
"Diamond & Pearl Drop Earrings","Claw set white gold diamond and pearl drop earrings.",145F,simple,0,1875,http://www.antiquejewellerycompany.com/shop/diamond-pearl-drop-earrings/,Earrings,"Modern (1960s onwards)",sold,,
"Georg Jensen Silver Ball Bracelet","A good quality silver bracelet by Georg Jensen which is a great design and was made circa 1980.",984D,simple,0,750,http://www.antiquejewellerycompany.com/shop/georg-jensen-silver-ball-bracelet/,"Bracelets &amp; Bangles","Modern (1960s onwards)",sold,,
"Moonstone & Coral Silver Bracelet","A pretty and decorative silver, coral and moonstone bracelet which was made circa 1920.",967B,,0,250,http://www.antiquejewellerycompany.com/shop/moonstone-coral-silver-bracelet/,"Bracelets &amp; Bangles","Art Deco (1920-1935)",sold,,"Art Deco (1920 - 1935)"
"Edwardian 15ct Gold Gate Bracelet","A good wearable 15ct gold bracelet which was made circa 1910. In lovely condition.",983D,simple,0,975,http://www.antiquejewellerycompany.com/shop/edwardian-15ct-gold-gate-bracelet/,"Bracelets &amp; Bangles","Edwardian (1901-1914)",sold,,
"Gold Moonstone Festoon Necklace","A pretty moonstone necklace which was made circa 1900-1910. The moonstones are a lovely blue/ white colour and are delicately suspended between 9ct gold chains.",536C,,0,975,http://www.antiquejewellerycompany.com/shop/gold-moonstone-festoon-necklace/,Necklaces,"Edwardian (1901-1914)",sold,,"Edwardian (1901 - 1914)"
"Pug Dog Enamel Tie Pin","An amusing enamel stickpin of a pug with a collar and bell.",19D,simple,0,250,http://www.antiquejewellerycompany.com/shop/pug-dog-enamel-tie-pin/,,"Victorian (1839-1901)",sold,,
"Flat Cut Garnet Round Gold Pendant","A pretty pendant which is 9ct gold and set with flat cut garnets. It was made circa 1900 when there was a revival of Georgian jewellery.",728C,simple,0,675,http://www.antiquejewellerycompany.com/shop/flat-cut-garnet-round-gold-pendant/,"Lockets &amp; Pendants","Edwardian (1901-1914)",sold,,
"Peridot & Pearl 15ct Gold Pendant on Chain","A pretty pendant which is 15ct gold and was made circa 1910. It is peridots and natural pearls. The chain is original and is also 15ct gold.",140B,simple,0,675,http://www.antiquejewellerycompany.com/shop/peridot-pearl-15ct-gold-pendant-on-chain/,"Lockets &amp; Pendants","Edwardian (1901-1914)",sold,,
"Art Nouveau Silver & Enamel Pendant on Chain by Charles Horner","A good example of a pendant by the firm of Charles Horner who worked in Chester at the turn of the 20th century until the 1940s. It is a heart shape with an entwined lover's knot and is enamelled in a green blue which was typical for the Art Nouveau period.",966B,simple,0,600,http://www.antiquejewellerycompany.com/shop/art-nouveau-silver-enamel-pendant-on-chain-by-charles-horner/,"Lockets &amp; Pendants","Art Nouveau (1890-1915)",sold,,
"Victorian 18ct Gold Amethyst & Diamond Drop Pendant","A good quality 18ct gold Brazilian amethyst and diamond pendant. It was made circa 1840 when amethysts were very much in fashion and were expensive. The two amethysts are complimented by a large diamond.",935D,,0,2250,http://www.antiquejewellerycompany.com/shop/victorian-18ct-gold-amethyst-diamond-drop-pendant/,"Lockets &amp; Pendants","Victorian (1839-1901)",available,,"Victorian (1839 -1901)"
"Pearl Studded 18ct Gold Victorian Bangle","Hardly any Victorian bangles are exactly the same design. There must have been literally thousands of versions out there in the 19th century. This one is packed with natural split pearls in a pleasing design and is 18ct gold. It was made circa 1880.",974D,simple,0,1500,http://www.antiquejewellerycompany.com/shop/pearl-studded-18ct-gold-victorian-bangle/,"Bracelets &amp; Bangles","Victorian (1839-1901)",sold,,
"Moonstone Silver Brooch Attributed To Bernard Instone","A pretty silver brooch which has been set with oval cabochon moonstones. It is very stylish and typical of Bernard Instone's work.",726C,simple,0,600,http://www.antiquejewellerycompany.com/shop/moonstone-silver-brooch-attributed-to-bernard-instone/,Brooches,"Art Deco (1920-1935)",sold,,
"Moonstone Stylised Flower Retro Earrings","A good looking pair of cabochon faceted moonstone earrings which were made in the 1940s. They are 14ct gold and were probably made in Germany or Austria. They are very striking on the ear.",349B,simple,0,550,http://www.antiquejewellerycompany.com/shop/moonstone-stylised-flower-retro-earrings/,Earrings,"Retro (1940s)",sold,,
"Diamond Edwardian Small Cluster Ring","A pretty little diamond cluster ring which was made circa 1910-20. The bit I particularly liked about it is that the central diamond daisy cluster has a separate shaped edge of platinum going round it.",977D,simple,0,675,http://www.antiquejewellerycompany.com/shop/diamond-edwardian-small-cluster-ring/,"Rings>Engagement Rings","Edwardian (1901-1914)",sold,"UK N, US 6 ½, French 54, Japanese 13",
"Sapphire & Diamond Shape Edwardian Ring","This ring is in good condition. The cornflower blue sapphire is framed by tiny white diamonds. The shank is in yellow gold while the mount is in platinum.",978D,simple,0,1500,http://www.antiquejewellerycompany.com/shop/sapphire-diamond-shape-edwardian-ring/,"Rings>Engagement Rings","Edwardian (1901-1914)",sold,"UK M, US 6, French 52 ¾, Japanese 12",
"Diamond Set 18ct Gold Band","A yellow gold 'bow tie' patterned diamond studded ring made in the 1980s which could be worn as a wedding band.",548C,simple,0,975,http://www.antiquejewellerycompany.com/shop/diamond-set-18ct-gold-band/,"Rings>Wedding Bands","Modern (1960s onwards)",sold,"UK N, US 6 ½, French 54, Japanese 13",
"Balloon Enamel Ring","An unusual 18ct gold and enamel 'balloon' style cocktail ring which looks fantastic on. The ring was made in the late 70s early 80s.",472C,simple,0,1275,http://www.antiquejewellerycompany.com/shop/balloon-enamel-ring/,"Rings>Dress Rings","Modern (1960s onwards)",sold,"UK K, US 5 ¼, French 50, Japanese 9 ½",
"Diamond, Sapphire & Ruby Art Deco Flip-over Ring","An impressive looking Art Deco swivel ring with unusually large stones. Alternate between rubies and sapphire- two rings in one! It is in 18ct white gold and was made circa 1930.",973D,simple,0,2500,http://www.antiquejewellerycompany.com/shop/diamond-sapphire-ruby-art-deco-flip-over-ring/,"Rings>Eternity &amp; Swivel Rings","Art Deco (1920-1935)",sold,"UK O, US 7, French 55 ¼, Japanese 14",
"Silver Heart Charm","A pretty engraved silver heart charm which was made circa 1950.",978C,simple,0,30,http://www.antiquejewellerycompany.com/shop/silver-heart-charm/,Charms,"Mid-Century (1950s)",sold,,
"Victorian Carved Agate Acorn Charm","A pretty Victorian charm which is carnelian, a type of agate which has been carved in to an acorn, the emblem of England.",630Y,simple,0,65,http://www.antiquejewellerycompany.com/shop/victorian-carved-agate-acorn-charm/,Charms,"Victorian (1839-1901)",sold,,
"Silver Boot Charm","A silver boot charm with a roof on!",,simple,0,10,http://www.antiquejewellerycompany.com/shop/silver-boot-charm/,Charms,"Mid-Century (1950s)",sold,,
"Silver Cow Charm","A good present for a rural loving girl!",455C,simple,0,20,http://www.antiquejewellerycompany.com/shop/silver-cow-charm/,Charms,"Mid-Century (1950s)",sold,,
"Silver Cherub Book Charm","An unusual silver charm which opens.",785B/OJ,simple,0,150,http://www.antiquejewellerycompany.com/shop/silver-cherub-book-charm/,Charms,"Art Nouveau (1890-1915)",sold,,
"Victorian Scottish Agate Boot Charm","A rare Scottish charm of a ladies boot which has a cut section of jasper and bloodstone and is engraved on the silver. It was made circa 1870.",J697,simple,0,425,http://www.antiquejewellerycompany.com/shop/victorian-scottish-agate-boot-charm/,Charms,"Victorian (1839-1901)",available,,
"Silver Clock Charm","A sweet old fashioned silver 1950s charm of a bedside clock.",448C,simple,0,20,http://www.antiquejewellerycompany.com/shop/silver-clock-charm/,Charms,"Mid-Century (1950s)",available,,
"Theodor Fahrner Silver Gilt & Marcasite Brooch","A good stylish example of a lily brooch by Fahrner. It is silver gilt and set with small marcasites.",958D,simple,0,250,http://www.antiquejewellerycompany.com/shop/theodore-fahrner-silver-gilt-marcasite-brooch/,Brooches,"Art Deco (1920-1935)",sold,,
"18ct Gold Octagonal Cufflinks","A good pair of 18ct gold cufflinks which have engine turned decoration and were made circa 1930.",968D,simple,0,475,http://www.antiquejewellerycompany.com/shop/18ct-gold-octagonal-cufflinks/,"Men's Jewellery>Cufflinks","Art Deco (1920-1935)",sold,,
"Victorian 9ct Gold Guard Chain","Guard chains are so versatile. You can wear them long or double or treble them round the neck. This one is 9ct gold. The links are very slightly faceted and have inner links which help prevent wear.",961D,simple,0,975,http://www.antiquejewellerycompany.com/shop/victorian-9ct-gold-guard-chain/,Chains,"Victorian (1839-1901)",sold,,
"Theodor Fahrner Silver Gilt & Pearl Necklace","A very good example of Theodor Fahrner's work. This necklace is set with cultured pearls and highlighted with marcasite. It is silver gilt and was made circa 1930.",958D,simple,0,550,http://www.antiquejewellerycompany.com/shop/theodore-fahrner-silver-gilt-pearl-necklace/,Necklaces,"Art Deco (1920-1935)",sold,,
"Diamond Stud Earrings","A very wearable pair of diamond stud earrings. The stones are evenly matched and a good white colour. They are well made and could be worn almost anywhere.",969D,simple,0,975,http://www.antiquejewellerycompany.com/shop/diamond-stud-earrings/,Earrings,"Modern (1960s onwards)",sold,,
"Two Gold & Banded Onyx Hatpins in Original Wathersdon Case","A rare pair of 18ct gold hatpins which were retailed by Wathersdon (later to become Wathersdon & Brogden) They are mounted with carved banded agates with gold finials. A wonderful addition to a collection.",960D,simple,0,1275,http://www.antiquejewellerycompany.com/shop/two-gold-banded-onyx-hatpins-in-original-wathersdon-case/,Curiosities,"Victorian (1839-1901)",available,,
"Three Gold Pavé Set Turquoise Studs in Original Case","These studs were made circa 1860 and are set with small turquoise stones in a shallow dome. They are 15ct gold and in their original little case.",952D,simple,0,375,http://www.antiquejewellerycompany.com/shop/three-gold-pave-set-turquoise-studs-in-original-case/,"Men's Jewellery>Cufflinks|Men's Jewellery>Dress Sets","Victorian (1839-1901)",sold,,
"Mother of Pearl & Gold Buttons in Original Case","A good set of 9ct gold dress buttons which have been set with mother of pearl round discs with a central natural pearl. They were made circa 1920-30.",951D,simple,0,675,http://www.antiquejewellerycompany.com/shop/mother-of-pearl-gold-buttons-in-original-case/,"Men's Jewellery>Dress Sets","Art Deco (1920-1935)",sold,,
"Amethyst & Pearl Gold Heart Pendant","A lovely example of a heart pendant which was very popular circa 1910 when this was made. The amethyst is a good purple colour and is surrounded by natural half split pearls. It is 15ct gold and in excellent condition.",967D,simple,0,1125,http://www.antiquejewellerycompany.com/shop/amethyst-pearl-gold-heart-pendant/,"Lockets &amp; Pendants","Edwardian (1901-1914)",sold,,
"Tortoiseshell Pique Victorian Bangle","Bangles such as this one are really hard to find, and this is in perfect condition. It has such a delicate design of flowers and leaves in gold and silver which were pressed in to the tortoiseshell by heating it first, a proceedure which has been lost over the years and cannot be reproduced, so you are buying a unique piece!",966D,simple,0,1275,http://www.antiquejewellerycompany.com/shop/tortoiseshell-pique-victorian-bangle/,"Bracelets &amp; Bangles","Victorian (1839-1901)",sold,,
"15ct Gold & Platinum Gate Bracelet","A good heavy 15ct gold and platinum gate bracelet which was made circa 1920 and is in excellent condition. These bracelets are rare to find nowadays and are very popular as they are easy to wear and look very chic.",956D,simple,0,1500,http://www.antiquejewellerycompany.com/shop/15ct-gold-platinum-gate-bracelet/,"Bracelets &amp; Bangles","Art Deco (1920-1935)",sold,,
"Art Nouveau Water Opal 15ct Gold Necklace","A really pretty Art Nouveau necklace which was made circa 1900-1910. It is 15ct gold and is set with water opals which are fascinating and subtle stones.",957D,simple,0,1275,http://www.antiquejewellerycompany.com/shop/art-nouveau-water-opal-15ct-gold-necklace/,Necklaces,"Edwardian (1901-1914)",sold,,
"Natural Split Pearl & Gold Cross in Original Case","A beautifully presented 15ct gold cross set with small natural split pearls in the original Goldsmith's and Silversmith's case. It was made circa 1910.",962D,simple,0,675,http://www.antiquejewellerycompany.com/shop/natural-split-pearl-gold-cross-in-original-case/,"Lockets &amp; Pendants","Edwardian (1901-1914)",sold,,
"Art Deco Marcasite Drop Earrings Set with Carnelian","A great pair of very wearable Art Deco drop earrings which have been set with two oval cabochon cornelian stones which is basically agate. The earrings are silver with gold wires.",965D,simple,0,375,http://www.antiquejewellerycompany.com/shop/art-deco-marcasite-drop-earrings-set-with-carnelian/,Earrings,"Art Deco (1920-1935)",sold,,
"Art Deco Marcasite Drop Earrings set with Green Chalcedony","A pretty and stylish pair of Art Deco earrings which are silver set with marcasite which is iron pyrites cut to imitate diamonds. This method was very popular in the Art Deco period and this pair has green chalcedony rectangular pieces in the design which is different and looks good.",964D,simple,0,350,http://www.antiquejewellerycompany.com/shop/art-deco-marcasite-drop-earrings-set-with-green-chalcedony/,Earrings,"Art Deco (1920-1935)",sold,,
"15ct Gold Victorian Drop Earrings with Star Motif","A rare pair of Victorian yellow gold, enamel and split pearl earrings likely to have been made as part of a set around 1870. Each earring is set to the centre with a natural split pearl in an enamel star surround.",955D,simple,0,1500,http://www.antiquejewellerycompany.com/shop/15ct-gold-victorian-drop-earrings-with-star-motif/,Earrings,"Victorian (1839-1901)",available,,
"18ct Gold & Coral Victorian Drop Earrings","A pair of 18ct yellow gold and coral earrings set to the centre with a small diamond and handmade in the Etruscan style around 1870.",954D,simple,0,1750,http://www.antiquejewellerycompany.com/shop/18ct-gold-coral-victorian-drop-earrings/,Earrings,"Victorian (1839-1901)",available,,
"18ct Gold Victorian Buckle Ring Which Opens To Reveal Hair","This is quite a rare ring as the two sides open to reveal plaited hair around the inner ring. It is finely engraved on the outside. I would recommend it for a collector of mourning jewellery as it is in mint condition.",950D,simple,0,1275,http://www.antiquejewellerycompany.com/shop/18ct-gold-victorian-buckle-ring-which-opens-to-reveal-hair/,Rings,"Victorian (1839-1901)",available,"UK N, US 6 ½, French 54, Japanese 13",
"Diamond & Sapphire Cluster Ring","A traditional 18ct gold engagement ring made around 1910 set with a good Burma sapphire and surrounded by old mine cut diamonds.",972D,simple,0,1875,http://www.antiquejewellerycompany.com/shop/diamond-sapphire-cluster-ring/,"Rings>Engagement Rings","Edwardian (1901-1914)",sold,"UK Q, US 8, French 57 ¾, Japanese 16",
"Diamond Large Cluster Edwardian Ring","A good diamond cluster Edwardian ring which was made circa 1910 and has a platinum top and an 18ct gold shank. The diamonds are well matched and make a very impressive overall effect.",971D,simple,0,1875,http://www.antiquejewellerycompany.com/shop/diamond-large-cluster-edwardian-ring/,"Rings>Engagement Rings","Edwardian (1901-1914)",sold,"UK L, US 5 ¾, French 51, Japanese 10 ½",
"Victorian Gold Pencil Charm",,902C,simple,0,95,http://www.antiquejewellerycompany.com/shop/victorian-gold-pencil-charm/,Charms,"Victorian (1839-1901)",sold,,
"Crown Top Maltese Cross Gold Charm",,773X,simple,0,250,http://www.antiquejewellerycompany.com/shop/crown-top-maltese-cross-gold-charm/,Charms,"Edwardian (1901-1914)",sold,,
"Gold Bell Charm",,798C,simple,0,45,http://www.antiquejewellerycompany.com/shop/gold-bell-charm/,Charms,,sold,,
